1444,BARICITINIB,L04AF02,Thuốc ức chế JAK.,"Viên nén 2 mg, 4 mg.","Olumiant, Bariciti",Nhiễm trùng nặng đang hoạt động; Quá mẫn.,Probenecid (tăng nồng độ); Thuốc ức chế miễn dịch khác.
1445,SULINDAC,M01AB02,NSAID.,"Viên nén 150 mg, 200 mg.","Clinoril, Sulindac",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ.,Warfarin (tăng nguy cơ chảy máu); Thuốc lợi tiểu.
1446,ETODOLAC,M01AB08,NSAID.,"Viên nén 200 mg, 300 mg, 400 mg.","Lodine, Etodolac",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ.,Warfarin (tăng nguy cơ chảy máu); Thuốc lợi tiểu.
1447,NABUMETONE,M01AX01,NSAID (Non-acidic).,"Viên nén 500 mg, 750 mg.","Relafen, Nabumeton",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ.,Warfarin (tăng nguy cơ chảy máu); Thuốc lợi tiểu.
1448,FENOPROFEN,M01AE02,NSAID.,"Viên nén 300 mg, 600 mg.","Nalfon, Fenoprofen",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ.,Warfarin (tăng nguy cơ chảy máu); Thuốc lợi tiểu.
1449,KE TOPROFEN,M01AE03,NSAID.,"Viên nang 50 mg, 75 mg; Thuốc đặt trực tràng.","Orudis, Ketoprofen",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ.,Warfarin (tăng nguy cơ chảy máu); Probenecid.
1450,PIROXICAM,M01AC01,NSAID (Tác dụng dài).,"Viên nén 10 mg, 20 mg.","Feldene, Piroxi",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ; Nguy cơ cao ở người cao tuổi.,Warfarin (tăng nguy cơ chảy máu); Thuốc lợi tiểu.
1451,CELECOXIB,M01AH01,NSAID (Ức chế COX-2).,"Viên nang 100 mg, 200 mg.","Celebrex, Celecoxib",Dị ứng Sulfonamide; Suy tim nặng; Ba tháng cuối thai kỳ.,Warfarin (tăng nguy cơ chảy máu); Fluconazole (tăng nồng độ Celecoxib).
1452,DICLOFENAC (Dạng tiêm),M01AB05,NSAID (Tiêm bắp/Tĩnh mạch).,Ống tiêm 75 mg/3 ml.,"Voltaren, Diclofenac",Loét dạ dày tiến triển; Rối loạn chảy máu; Tiêm tĩnh mạch (nguy cơ thuyên tắc).,Thuốc chống đông; Thuốc lợi tiểu; Lithium.
1453,ETORICOXIB,M01AH05,NSAID (Ức chế COX-2).,"Viên nén 60 mg, 90 mg, 120 mg.","Arcoxia, Etoricoxib",Tăng huyết áp không kiểm soát; Suy tim sung huyết; Bệnh tim thiếu máu cục bộ.,Warfarin (tăng nguy cơ chảy máu); Rifampicin (giảm nồng độ).
1454,MELOXICAM,M01AC06,NSAID (Ức chế COX-2 ưu tiên).,"Viên nén 7.5 mg, 15 mg.","Mobic, Meloxicam",Loét dạ dày tiến triển; Suy thận nặng; Ba tháng cuối thai kỳ.,Warfarin (tăng nguy cơ chảy máu); Cholestyramine (giảm hấp thu).
1455,GABAPENTIN ENACARBILE,N03AX12,Thuốc chống co giật (Phóng thích kéo dài).,"Viên nén 300 mg, 600 mg.",Horizant,Quá mẫn.,"Rượu, Thuốc ức chế TKTW (tăng an thần)."
1456,HYDROCORTISONE (Kem/Mỡ),D07AA02,Corticosteroid yếu (Tại chỗ).,"Kem/Thuốc mỡ 1%, 2.5%.","Cortef, Hydrocort","Nhiễm trùng da (virus, nấm); Trứng cá đỏ.",Không đáng kể (dạng tại chỗ).
1457,MOMETASONE FUROATE,D07AC13,Corticosteroid mạnh (Tại chỗ).,Kem/Thuốc mỡ 0.1%.,"Elocon, Mometa","Nhiễm trùng da (virus, nấm); Dùng diện rộng.",Không đáng kể (dạng tại chỗ).
1458,GENTAMICIN/BETAMETHASONE,D07CC01,Kháng sinh/Corticosteroid (Phối hợp tại chỗ).,Kem/Thuốc mỡ.,"Gentri-Sone, Genta/Beta",Nhiễm virus (Herpes) tại chỗ; Lao da.,Dùng kéo dài trên diện rộng (tăng hấp thu toàn thân).
1459,CLOTRIMAZOLE/BETAMETHASONE,D01AC01,Kháng nấm/Corticosteroid (Phối hợp tại chỗ).,Kem/Thuốc mỡ.,"Lotriderm, Clotri/Beta",Nhiễm virus tại chỗ; Trứng cá đỏ; Dùng trên diện rộng.,Không đáng kể (dạng tại chỗ).
1460,NEOMYCIN/POLYMYXIN B/DEXAMETHASONE,S01CA01,Kháng sinh/Corticosteroid (Phối hợp mắt).,Thuốc nhỏ mắt/Tai.,"Maxitrol, Neo/Poly/Dexa",Glôcôm góc đóng; Tổn thương giác mạc (viêm Herpes).,Aminoglycosid (tăng nguy cơ độc tính tai/thận nếu hấp thu toàn thân).
1461,OLOPATADINE,S01GX09,Kháng Histamin (Nhỏ mắt).,"Thuốc nhỏ mắt 0.1%, 0.2%.","Patanol, Olopata",Quá mẫn.,Không đáng kể (dạng tại chỗ).
1462,AZELASTINE,R01AD03,Kháng Histamin (Xịt mũi).,Thuốc xịt mũi 0.1%.,"Astelin, Azelas",Quá mẫn.,"Rượu, Thuốc ức chế TKTW (tăng an thần)."
1463,FLUTICASONE FUROATE,R01AD12,Corticosteroid (Xịt mũi).,Thuốc xịt mũi 27.5 mcg/nhát.,"Veramyst, Flutic",Quá mẫn.,Thuốc ức chế CYP3A4 mạnh (Ritonavir - tăng hấp thu toàn thân).
1464,CIPROFLOXACIN/HYDROCORTISONE,S02CA03,Kháng sinh/Corticosteroid (Nhỏ tai).,Thuốc nhỏ tai.,"Cipro/HC, Cipro/Hydro",Màng nhĩ thủng (có thể); Nhiễm virus tai ngoài.,Không đáng kể (dạng tại chỗ).
1465,MOXIFLOXACIN (Nhỏ mắt),S01AE07,Kháng sinh Quinolone (Nhỏ mắt).,Thuốc nhỏ mắt 0.5%.,"Vigamox, Moxiflo",Quá mẫn với Quinolone.,Không đáng kể (dạng tại chỗ).
1466,LEVONORGESTREL (Cấy dưới da),G03AC08,Thuốc tránh thai Progestin (Cấy dưới da).,Que cấy 68 mg.,"Implanon, Levonor",Có thai; Huyết khối đang hoạt động; Chảy máu âm đạo không rõ nguyên nhân.,"Thuốc cảm ứng CYP3A4 (Rifampicin, Phenytoin - giảm hiệu quả)."
1467,ETOMIDATE,N01AX07,Thuốc gây mê tĩnh mạch (Tác dụng ngắn).,Thuốc tiêm 2 mg/ml.,"Amidate, Etomida",Quá mẫn; Suy vỏ thượng thận cấp tính (liều cao).,Tăng tác dụng của thuốc ức chế TKTW.
1468,THIOPENTAL,N01AF03,Thuốc mê barbiturate.,Bột pha tiêm.,"Pentothal, Thiopental","Bệnh Porphyrin cấp; Sốc, Hôn mê gan.",Tăng tác dụng của thuốc ức chế TKTW.
1469,KETAMINE,N01AX03,Thuốc gây mê (Phân ly).,"Thuốc tiêm 10 mg/ml, 50 mg/ml.","Ketalar, Ketamine",Tăng huyết áp nặng; Bệnh tim nặng.,"Thuốc kích thích tuyến giáp (tăng nguy cơ tăng huyết áp, nhịp tim nhanh)."
1470,MIDAZOLAM,N05CD08,"Benzodiazepine (Tiền mê, An thần).","Thuốc tiêm 1 mg/ml, 5 mg/ml.","Versed, Midazolam",Glôcôm góc đóng; Sốc; Suy hô hấp cấp.,"Thuốc ức chế CYP3A4 mạnh (Azole, Macrolide - tăng tác dụng an thần, ức chế hô hấp)."
1471,PROPOFOL,N01AX10,Thuốc gây mê tĩnh mạch (Tác dụng cực ngắn).,Nhũ tương tiêm truyền.,"Diprivan, Propofol","Dị ứng trứng/đậu nành; Sốc, Hôn mê.",Thuốc ức chế TKTW (tăng tác dụng); Opioid.
1472,ROPIVACAINE,N01BB09,Thuốc tê cục bộ (Dạng Amide).,Dung dịch tiêm 2 mg/ml - 10 mg/ml.,"Naropin, Ropivac",Quá mẫn với thuốc tê dạng Amide; Block AV nặng.,"Thuốc chống loạn nhịp (Lidocaine, Mexiletine - tăng độc tính)."
1473,EPINEPHRINE/LIDOCAINE,N01BB52,Thuốc tê/Co mạch (Phối hợp).,Dung dịch tiêm.,Xylocaine w/ Epinephrine,Tê vùng tận cùng (nguy cơ thiếu máu cục bộ); Tăng huyết áp nặng.,"Thuốc chống trầm cảm ba vòng, MAOI (tăng tác dụng cường giao cảm)."
1474,NITROUS OXIDE,N01AX13,Khí gây mê (Laughing Gas).,Khí nén.,N2O,"Thiếu Vitamin B12; Bệnh nhân có túi khí (Tràn khí màng phổi, Tắc mạch khí).",Tăng tác dụng của các thuốc gây mê khác.
1475,SEVOFLURANE,N01AB08,Thuốc gây mê dạng hít.,Dung dịch hít.,"Ultane, Sevoflurane",Tiền sử tăng thân nhiệt ác tính; Quá mẫn.,Thuốc giãn cơ không khử cực (tăng tác dụng).
1476,DESFLURANE,N01AB07,Thuốc gây mê dạng hít.,Dung dịch hít.,"Suprane, Desflurane",Tiền sử tăng thân nhiệt ác tính; Tăng áp lực nội sọ.,Thuốc giãn cơ không khử cực (tăng tác dụng).
1477,CISPLATIN,L01XA01,Thuốc chống ung thư (Hợp chất Platinum).,Thuốc tiêm.,"Platinol, Cisplatin",Suy thận nặng; Suy tủy; Giảm thính lực.,Aminoglycosid (tăng độc tính thận/tai); Paclitaxel (thay đổi trình tự dùng thuốc).
1478,DOXORUBICIN,L01DB01,Thuốc chống ung thư (Anthracycline).,Thuốc tiêm.,"Adriamycin, Doxorubi",Suy tim nặng; Suy tủy nặng; Tiền sử dùng Doxorubicin liều tích lũy tối đa.,Cyclosporine (tăng nồng độ); Trastuzumab (tăng nguy cơ độc tim).
1479,PACLITAXEL,L01CD01,Thuốc chống ung thư (Taxane).,Thuốc tiêm.,"Taxol, Paclitaxel",Giảm bạch cầu trung tính nặng; Có thai.,Thuốc ức chế CYP2C8/3A4 (Azole - tăng độc tính); Cisplatin (thay đổi trình tự dùng thuốc).
1480,CARBOPLATIN,L01XA02,Thuốc chống ung thư (Hợp chất Platinum).,Thuốc tiêm.,"Paraplatin, Carboplatin",Suy thận nặng; Suy tủy nặng; Rối loạn chảy máu.,Aminoglycosid (tăng độc tính thận/tai).
1481,VINCRISTINE,L01CA02,Thuốc chống ung thư (Alkaloid Dừa cạn).,Thuốc tiêm.,"Oncovin, Vincristine",Bệnh Charcot-Marie-Tooth; Xạ trị qua gan.,Thuốc ức chế CYP3A4 mạnh (Azole - tăng độc tính thần kinh); Phenytoin (giảm nồng độ Phenytoin).
1482,METHOTREXATE,L01BA01,Thuốc chống ung thư (Kháng Folate).,Viên nén 2.5 mg; Thuốc tiêm.,"Trexall, Methotrexate",Có thai (gây quái thai); Suy thận/gan nặng; Giảm chức năng tạo máu.,"NSAIDs, Penicillins, Probenecid (tăng nồng độ Methotrexate, tăng độc tính); Bactrim (tăng độc tủy)."
1483,CYCLOPHOSPHAMIDE,L01AA01,Thuốc chống ung thư (Alkyl hóa).,Viên nén 50 mg; Thuốc tiêm.,"Cytoxan, Cyclopho",Suy tủy nặng; Viêm bàng quang xuất huyết cấp tính.,Allopurinol (tăng nguy cơ độc tủy); Thuốc gây độc tim (Doxorubicin).
1484,BLEOMYCIN,L01DC01,Thuốc chống ung thư (Kháng sinh độc tế bào).,Thuốc tiêm.,"Blenoxane, Bleomycin",Suy phổi nặng; Quá mẫn.,Oxygen liều cao (tăng nguy cơ độc phổi); Cisplatin (tăng độc tính phổi).
1485,TAMOXIFEN,L02BA01,Thuốc chống ung thư (SERM).,"Viên nén 10 mg, 20 mg.","Nolvadex, Tamoxifen",Dùng đồng thời với Warfarin; Tiền sử thuyên tắc huyết khối; Có thai.,"Warfarin (tăng nguy cơ chảy máu); SSRI mạnh (Paroxetine, Fluoxetine - giảm hiệu quả)."
1486,ANASTROZOLE,L02BG03,Thuốc chống ung thư (Ức chế Aromatase).,Viên nén 1 mg.,"Arimidex, Anastrozole",Phụ nữ tiền mãn kinh; Có thai.,"Tamoxifen, Estrogen (giảm hiệu quả)."
1487,LETROZOLE,L02BG04,Thuốc chống ung thư (Ức chế Aromatase).,Viên nén 2.5 mg.,"Femara, Letrozole",Phụ nữ tiền mãn kinh; Có thai.,"Tamoxifen, Estrogen (giảm hiệu quả)."
1488,ERLOTINIB,L01XE03,Thuốc chống ung thư (Ức chế EGFR Tyrosine Kinase).,"Viên nén 25 mg, 100 mg, 150 mg.","Tarceva, Erlotinib",Quá mẫn.,Thuốc ức chế CYP3A4 mạnh (Azole - tăng nồng độ); PPI/H2RA (giảm nồng độ).
1489,GEFITINIB,L01XE02,Thuốc chống ung thư (Ức chế EGFR Tyrosine Kinase).,Viên nén 250 mg.,"Iressa, Gefitinib",Quá mẫn.,Thuốc ức chế CYP3A4 mạnh (Azole - tăng nồng độ); PPI/H2RA (giảm nồng độ).
1490,BEVACIZUMAB,L01XC07,Kháng thể đơn dòng (Ức chế VEGF).,Thuốc tiêm truyền.,"Avastin, Bevacizu",Tiền sử thủng đường tiêu hóa; Chảy máu nặng.,Sunitinib (tăng nguy cơ microangiopathy huyết khối).
1491,RITUXIMAB,L01XC02,Kháng thể đơn dòng (Ức chế CD20).,Thuốc tiêm truyền.,"Rituxan, Rituximab",Nhiễm trùng nặng đang hoạt động; Suy tim nặng.,Vắc xin sống (chống chỉ định).
1492,OPRELVEKIN,L03AX13,Cytokine (Điều trị giảm tiểu cầu do hóa trị).,Bột pha tiêm.,"Neumega, Oprelvekin",Quá mẫn với protein E. coli.,Không đáng kể.
1493,FILGRASTIM,L03AA02,Yếu tố kích thích tạo máu (G-CSF).,Thuốc tiêm.,"Neupogen, Filgrastim",Quá mẫn với protein E. coli; Giảm bạch cầu trung tính do hóa trị (dùng trước 24 giờ sau hóa trị).,Lithium (tăng giải phóng bạch cầu).
1494,PEMETREXED,L01BA04,Thuốc chống ung thư (Kháng Folate/Ức chế Thymidylate Synthase).,Bột pha tiêm.,"Alimta, Pemetrexed",Có thai.,NSAIDs (tăng độc tính thận); Cần bổ sung Acid Folic và Vitamin B12.
1495,THALIDOMIDE,L04AX02,"Thuốc điều hòa miễn dịch (Điều trị U tủy, Hồng ban nút phong).","Viên nang 50 mg, 100 mg.","Thalomid, Thalido",Có thai (Gây quái thai nghiêm trọng - PHẢI kiểm soát nghiêm ngặt).,"Opioid, Barbiturate (tăng an thần)."
1496,LENALIDOMIDE,L04AX04,Thuốc điều hòa miễn dịch.,"Viên nang 5 mg, 10 mg, 15 mg, 25 mg.","Revlimid, Lenalido",Có thai (Gây quái thai nghiêm trọng - PHẢI kiểm soát nghiêm ngặt); Dùng đồng thời với thuốc tránh thai nội tiết (tăng nguy cơ huyết khối).,Tương tác tương tự Thalidomide.
1497,BORTEZOMIB,L01XX32,Thuốc ức chế Proteasome (Điều trị U tủy).,Bột pha tiêm.,"Velcade, Bortezo",Quá mẫn với Boron.,Thuốc chống đái tháo đường dạng uống (nguy cơ hạ đường huyết).
1498,INSULIN GLARGINE (U-100),A10AE04,Insulin tác dụng kéo dài (Gốc).,Bút tiêm 100 U/ml.,"Lantus, Glargine",Hạ đường huyết; Quá mẫn.,Thuốc chẹn Beta (che dấu triệu chứng hạ đường huyết); Corticosteroid (giảm tác dụng Insulin).
1499,INSULIN LISPRO,A10AB04,Insulin tác dụng nhanh.,Bút tiêm 100 U/ml.,"Humalog, Lispro",Hạ đường huyết; Quá mẫn.,Tương tự các loại Insulin khác.
1500,EXENATIDE,A10BX04,Thuốc chủ vận thụ thể GLP-1 (Điều trị Đái tháo đường type 2).,Bút tiêm.,"Byetta, Exenatide",Tiền sử viêm tụy cấp nặng; Ung thư tủy giáp (MEN 2).,Làm chậm rỗng dạ dày (ảnh hưởng hấp thu thuốc uống).
1501,LIRAGLUTIDE,A10BX07,Thuốc chủ vận thụ thể GLP-1.,Bút tiêm.,"Victoza, Saxenda",Tiền sử ung thư tủy giáp (MEN 2); Đa u tuyến nội tiết type 2.,Làm chậm rỗng dạ dày (ảnh hưởng hấp thu thuốc uống).
1502,SITAGLIPTIN,A10BH01,Thuốc ức chế DPP-4 (Điều trị Đái tháo đường type 2).,"Viên nén 25 mg, 50 mg, 100 mg.","Januvia, Sitagliptin",Tiền sử viêm tụy cấp nặng; Quá mẫn.,Digoxin (tăng nhẹ nồng độ Digoxin).
1503,DAPAGLIFLOZIN,A10BX09,Thuốc ức chế SGLT2 (Điều trị Đái tháo đường type 2).,"Viên nén 5 mg, 10 mg.","Farxiga, Dapagli",Suy thận nặng (eGFR < 45 ml/phút/1.73 m2).,Thuốc lợi tiểu (tăng nguy cơ hạ huyết áp).
1504,EMPAGLIFLOZIN,A10BX12,Thuốc ức chế SGLT2.,"Viên nén 10 mg, 25 mg.","Jardiance, Empagli",Suy thận nặng (eGFR < 45 ml/phút/1.73 m2).,Thuốc lợi tiểu (tăng nguy cơ hạ huyết áp).
1505,ROSUVASTATIN,C10AA07,Thuốc hạ Lipid (Statin).,"Viên nén 5 mg, 10 mg, 20 mg, 40 mg.","Crestor, Rosuvastatin",Bệnh gan hoạt động; Có thai; Suy thận nặng.,"Cyclosporine (tăng nồng độ Rosuvastatin, tăng nguy cơ tiêu cơ vân); Warfarin."
1506,EZETIMIBE,C10AX09,Thuốc hạ Lipid (Ức chế hấp thu Cholesterol).,Viên nén 10 mg.,"Zetia, Ezetimibe",Bệnh gan hoạt động (khi dùng phối hợp Statin).,Cholestyramine (giảm nồng độ Ezetimibe); Warfarin (tăng INR).
1507,FENOFIBRATE,C10AB05,Thuốc hạ Lipid (Fibrate).,"Viên nén 145 mg, 200 mg.","Tricor, Fenofibr",Bệnh gan/túi mật nặng; Suy thận nặng.,Statin (tăng nguy cơ tiêu cơ vân); Warfarin (tăng tác dụng chống đông).
1508,NIACIN (Acid Nicotinic),C10AD02,"Vitamin B3, Hạ Lipid.","Viên nén 500 mg, 1000 mg (Phóng thích kéo dài).","Niaspan, Niacin",Bệnh gan hoạt động; Loét dạ dày tiến triển.,Statin (tăng nguy cơ tiêu cơ vân); Rượu (tăng nguy cơ đỏ bừng mặt).
1509,CLOPIDOGREL,B01AC04,Thuốc chống kết tập tiểu cầu (Ức chế P2Y12).,Viên nén 75 mg.,"Plavix, Clopidogrel",Chảy máu đang hoạt động; Suy gan nặng; Loét dạ dày tiến triển.,"PPI mạnh (Omeprazole, Esomeprazole - giảm hiệu quả); Warfarin (tăng nguy cơ chảy máu)."
1510,TICAGRELOR,B01AC11,"Thuốc chống kết tập tiểu cầu (Ức chế P2Y12, Tác dụng trực tiếp).","Viên nén 60 mg, 90 mg.","Brilinta, Ticagrelor",Chảy máu đang hoạt động; Tiền sử chảy máu nội sọ.,"Thuốc ức chế/cảm ứng CYP3A4 mạnh; Simvastatin, Lovastatin liều cao."
1511,WARFARIN,B01AA03,Thuốc chống đông (Đối kháng Vitamin K).,"Viên nén 1 mg, 2 mg, 5 mg.","Coumadin, Warfarin",Chảy máu đang hoạt động; Có thai; Tăng huyết áp ác tính.,"Rất nhiều (NSAIDs, Kháng sinh, Thuốc ức chế CYP, vv - cần theo dõi INR nghiêm ngặt)."
1512,RIVAROXABAN,B01AF01,Thuốc chống đông (Ức chế Xa trực tiếp).,"Viên nén 10 mg, 15 mg, 20 mg.","Xarelto, Rivaroxaban",Chảy máu đang hoạt động; Tổn thương cột sống/ngoại tủy (gây tê tủy).,"Thuốc ức chế/cảm ứng CYP3A4 mạnh/P-gp (Azole, Rifampicin)."
1513,APIXABAN,B01AF02,Thuốc chống đông (Ức chế Xa trực tiếp).,"Viên nén 2.5 mg, 5 mg.","Eliquis, Apixaban",Chảy máu đang hoạt động; Tổn thương cột sống/ngoại tủy.,Thuốc ức chế/cảm ứng CYP3A4 mạnh/P-gp.
1514,DABIGATRAN,B01AE07,Thuốc chống đông (Ức chế Thrombin trực tiếp).,"Viên nang 75 mg, 150 mg.","Pradaxa, Dabigatran",Chảy máu đang hoạt động; Suy thận nặng (Clearance < 30 ml/phút).,"Thuốc ức chế P-gp mạnh (Amiodarone, Verapamil, Quinidine)."
1515,ALTEPLASE (rtPA),B01AD02,Thuốc tiêu sợi huyết.,Bột pha tiêm.,"Activase, Alteplase",Xuất huyết nội sọ; Đột quỵ gần đây; Tăng huyết áp không kiểm soát.,"Thuốc chống đông, Thuốc chống kết tập tiểu cầu (tăng nguy cơ chảy máu)."
1516,TENECTEPLASE (TNK),B01AD11,Thuốc tiêu sợi huyết (Đột biến).,Bột pha tiêm.,"TNKase, Tenecte",Tương tự Alteplase.,Tương tự Alteplase.
1517,PROTAMINE SULFATE,V03AB14,Chất đối kháng (Giải độc Heparin).,Thuốc tiêm.,Protamine,Dị ứng cá (do có nguồn gốc từ tinh trùng cá); Dị ứng Protamine.,Heparin (trung hòa tác dụng).
1518,IDARUCIZUMAB,V03AB37,Kháng thể (Giải độc Dabigatran).,Thuốc tiêm truyền.,"Praxbind, Idarucizumab",Quá mẫn.,Dabigatran (trung hòa tác dụng).
1519,ANDEXANET ALFA,V03AB38,Protein tái tổ hợp (Giải độc Ức chế Xa).,Bột pha tiêm.,"Andexxa, Andexanet",Quá mẫn.,Ức chế Xa (trung hòa tác dụng).
1520,FACTOR VIIA (Tái tổ hợp),B02BD08,Yếu tố đông máu (Điều trị Rối loạn đông máu).,Bột pha tiêm.,"NovoSeven, FVIIa","Quá mẫn với protein chuột, bò.",Thuốc tiêu sợi huyết (chống chỉ định dùng đồng thời).
1521,ERYTHROPOIETIN ALFA (EPO),B03XA01,Hormone (Điều trị Thiếu máu do suy thận).,Thuốc tiêm.,"Epogen, Erythro",Tăng huyết áp không kiểm soát; Bệnh cảnh khối u (trừ khi chỉ định).,Không đáng kể.
1522,DARBEPOETIN ALFA,B03XA02,Hormone (Điều trị Thiếu máu).,Thuốc tiêm.,"Aranesp, Darbepo",Tăng huyết áp không kiểm soát; Bệnh cảnh khối u.,Không đáng kể.
1523,SACROSIDASE,A07XA01,Enzyme (Điều trị Thiếu hụt Sucrase Isomaltase).,Dung dịch uống.,"Sucraid, Sacrosidase",Dị ứng nấm men.,Không đáng kể.
1524,LUMACAFTOR/IVACAFTOR,R07AX02,Thuốc điều hòa CFTR (Điều trị Xơ nang).,Viên nén.,"Orkambi, Luma/Ivaca",Quá mẫn.,Thuốc ức chế/cảm ứng CYP3A4 mạnh.
1525,IVACAFTOR,R07AX02,Thuốc điều hòa CFTR (Điều trị Xơ nang).,Viên nén.,"Kalydeco, Ivacaftor",Quá mẫn.,Thuốc ức chế/cảm ứng CYP3A4 mạnh.
1526,DORNASE ALFA,R05CB13,Enzyme (Điều trị Xơ nang).,Dung dịch hít.,"Pulmozyme, Dornase",Quá mẫn với protein tế bào Hamster.,Không đáng kể.
1527,TETRACYCLINE (Bôi),D06AA04,Kháng sinh (Bôi ngoài da).,Thuốc mỡ/Dung dịch.,Tetracylin,Quá mẫn.,Không đáng kể (dạng tại chỗ).
1528,CLINDAMYCIN (Bôi),D10AF01,Kháng sinh (Điều trị mụn trứng cá).,Dung dịch/Gel/Bọt.,"Cleocin T, Clindamy",Quá mẫn; Viêm ruột kết do kháng sinh.,Không đáng kể (dạng tại chỗ).
1529,ERYTHROMYCIN (Bôi),D10AF02,Kháng sinh (Điều trị mụn trứng cá).,Dung dịch/Gel.,"Erygel, Erythromy",Quá mẫn.,Không đáng kể (dạng tại chỗ).
1530,BENZOYL PEROXIDE,D10AE01,"Thuốc trị mụn (Kháng khuẩn, tiêu sừng).","Kem/Gel 2.5%, 5%, 10%.","Benzac, Peroxide",Quá mẫn; Vết thương hở.,Tretinoin (có thể bị bất hoạt).
