inn,drug_class,brand_names,forms,inn_clean,atc_code,drug_class_clean,forms_clean,brand_clean,tokens,aliases,routes,is_pediatric_form,age_min,risk_tags,contraindications,specialties
TIZANIDINE,Thuốc giãn cơ tác dụng trung ương.,"['Zanaflex', 'Tizani']","['Viên nén 2 mg', 'Viên nén 4 mg']",tizanidine,m03bx10,thuoc gian co tac dung trung uong.,"['vien nen 2mg', 'vien nen 4mg']","['zanaflex', 'tizani']","['gian', 'vien', 'tizani', 'tizanidine', 'co', 'zanaflex', 'dung', 'thuoc', 'm03bx10', '2mg', 'trung', 'uong', '4mg', 'nen', 'tac']",[],"{""oral""}",False,,[],Dùng đồng thời với Fluoxamine hoặc Ciprofloxacin.,"{""neurology""}"
BACLOFEN,Thuốc giãn cơ tác dụng trung ương.,"['Lioresal', 'Baclofen']","['Viên nén 10 mg', 'Viên nén 20 mg', 'Thuốc tiêm nội tủy']",baclofen,m03bx01,thuoc gian co tac dung trung uong.,"['vien nen 10mg', 'vien nen 20mg', 'thuoc tiem noi tuy']","['lioresal', 'baclofen']","['10mg', 'gian', 'vien', 'm03bx01', 'noi', 'co', 'dung', 'thuoc', 'lioresal', 'trung', 'uong', 'tiem', 'nen', 'tuy', 'baclofen', 'tac', '20mg']",[],"{""oral"",""injection""}",False,,[],Loét dạ dày tiến triển (dạng uống).,"{""neurology""}"
METHOCARBAMOL,Thuốc giãn cơ tác dụng trung ương.,"['Robaxin', 'Methocar']","['Viên nén 500 mg', 'Viên nén 750 mg']",methocarbamol,m03ba03,thuoc gian co tac dung trung uong.,"['vien nen 500mg', 'vien nen 750mg']","['robaxin', 'methocar']","['nen', 'gian', 'vien', 'co', 'dung', 'thuoc', 'methocar', 'trung', 'm03ba03', 'uong', '750mg', 'methocarbamol', '500mg', 'robaxin', 'tac']",[],"{""oral""}",False,,[],Quá mẫn.,"{""neurology""}"
CYCLOBENZAPRINE,Thuốc giãn cơ tác dụng trung ương.,"['Flexeril', 'Cycloben']","['Viên nén 5 mg', 'Viên nén 10 mg']",cyclobenzaprine,m03bx08,thuoc gian co tac dung trung uong.,"['vien nen 5mg', 'vien nen 10mg']","['flexeril', 'cycloben']","['10mg', 'gian', 'vien', 'co', 'dung', 'thuoc', '5mg', 'flexeril', 'trung', 'tac', 'uong', 'cycloben', 'cyclobenzaprine', 'nen', 'm03bx08']",[],"{""oral""}",False,,[],Dùng đồng thời với MAOI; Suy tim sung huyết; Cường giáp.,"{""neurology""}"
CARISOPRODOL,Thuốc giãn cơ tác dụng trung ương (Chất chuyển hóa thành Meprobamate).,"['Soma', 'Carisoprodol']",['Viên nén 350 mg'],carisoprodol,m03ba02,thuoc gian co tac dung trung uong (chat chuyen hoa thanh meprobamate).,['vien nen 350mg'],"['soma', 'carisoprodol']","['gian', 'meprobamate', 'vien', 'co', 'soma', 'dung', 'thuoc', 'hoa', 'trung', 'uong', 'chat', 'carisoprodol', '350mg', 'm03ba02', 'chuyen', 'thanh', 'nen', 'tac']",[],"{""oral""}",False,,[],Rối loạn chuyển hóa Porphyrin cấp tính.,"{""neurology""}"
ALLOPURINOL,Thuốc ức chế Xanthin Oxidase (Điều trị Gout).,"['Zyloprim', 'Allopur']","['Viên nén 100 mg', 'Viên nén 300 mg']",allopurinol,m04aa01,thuoc uc che xanthin oxidase (dieu tri gout).,"['vien nen 100mg', 'vien nen 300mg']","['zyloprim', 'allopur']","['che', 'nen', 'xanthin', 'dieu', 'vien', '100mg', 'allopur', 'thuoc', 'm04aa01', 'gout', 'tri', 'uc', 'zyloprim', 'oxidase', 'allopurinol', '300mg']",[],"{""oral""}",False,,[],Quá mẫn; Cơn Gout cấp tính.,"{""rheumatology""}"
FEBUXOSTAT,Thuốc ức chế Xanthin Oxidase.,"['Uloric', 'Febuxo']","['Viên nén 40 mg', 'Viên nén 80 mg', 'Viên nén 120 mg']",febuxostat,m04aa03,thuoc uc che xanthin oxidase.,"['vien nen 40mg', 'vien nen 80mg', 'vien nen 120mg']","['uloric', 'febuxo']","['che', 'nen', 'xanthin', 'vien', '120mg', 'uloric', 'febuxo', 'febuxostat', '80mg', 'thuoc', 'm04aa03', 'uc', '40mg', 'oxidase']",[],"{""oral""}",False,,[],Dùng đồng thời với Azathioprine hoặc Mercaptopurine.,"{""rheumatology""}"
COLCHICINE,Thuốc chống viêm (Điều trị Gout cấp).,"['Colcrys', 'Colchi']","['Viên nén 0.5 mg', 'Viên nén 0.6 mg']",colchicine,m04ac01,thuoc chong viem (dieu tri gout cap).,"['vien nen 0.5mg', 'vien nen 0.6mg']","['colcrys', 'colchi']","['vien', 'dieu', 'viem', 'colchicine', 'thuoc', '05mg', 'colcrys', 'm04ac01', 'chong', 'colchi', 'cap', 'gout', 'tri', 'nen', '06mg']",[],"{""oral""}",False,,"['hepatic_toxic', 'renal_adjust']",Suy thận/gan nặng; Dùng đồng thời với thuốc ức chế CYP3A4 mạnh.,"{""rheumatology""}"
PROBENECID,Thuốc tăng thải Acid Uric.,"['Benemid', 'Proben']",['Viên nén 500 mg'],probenecid,m04ab01,thuoc tang thai acid uric.,['vien nen 500mg'],"['benemid', 'proben']","['tang', 'proben', 'thai', 'vien', 'benemid', 'acid', 'thuoc', 'm04ab01', 'uric', 'nen', '500mg', 'probenecid']",[],"{""oral""}",False,,['renal_adjust'],Tiền sử sỏi thận Acid Uric; Cơn Gout cấp tính; Rối loạn tạo máu.,"{""rheumatology""}"
RASBURICASE,Enzyme Urate Oxidase (Điều trị Tăng Acid Uric máu cấp).,"['Elitek', 'Rasburi']",['Bột pha tiêm'],rasburicase,v03ax02,enzyme urate oxidase (dieu tri tang acid uric mau cap).,['bot pha tiem'],"['elitek', 'rasburi']","['tang', 'dieu', 'bot', 'v03ax02', 'pha', 'elitek', 'acid', 'rasburicase', 'uric', 'mau', 'cap', 'tiem', 'tri', 'urate', 'oxidase', 'enzyme', 'rasburi']",[],"{""injection""}",False,,[],Thiếu G6PD (nguy cơ tán huyết); Quá mẫn.,{}
THROMBIN (Tại chỗ),Chất cầm máu (Tại chỗ).,['Thrombin'],[],thrombin (tai cho),b02ab03,chat cam mau (tai cho).,[],['thrombin'],"['tai', 'cam', 'b02ab03', 'thrombin', 'chat', 'mau', 'cho']",[],"{""oral""}",False,,[],Tiêm tĩnh mạch (Gây tử vong); Quá mẫn với protein bò.,"{""hematology""}"
A PROTININ,Chất ức chế Protease (Chống chảy máu).,"['Trasylol', 'Aprotinin']",['Thuốc tiêm (Đã bị rút khỏi thị trường)'],a protinin,b02ab01,chat uc che protease (chong chay mau).,['thuoc tiem (da bi rut khoi thi truong)'],"['trasylol', 'aprotinin']","['truong', 'mau', 'bi', 'uc', 'chay', 'protease', 'protinin', 'che', 'khoi', 'a', 'trasylol', 'thi', 'chat', 'aprotinin', 'da', 'tiem', 'b02ab01', 'thuoc', 'rut', 'chong']",[],"{""injection""}",False,,[],Quá mẫn (nguy cơ phản vệ nặng).,"{""hematology""}"
TRANEXAMIC ACID,Thuốc cầm máu (Ức chế Fibrinolysis).,"['Cyklokapron', 'Trane']","['Viên nén 500 mg', 'Thuốc tiêm']",tranexamic acid,b02aa02,thuoc cam mau (uc che fibrinolysis).,"['vien nen 500mg', 'thuoc tiem']","['cyklokapron', 'trane']","['che', 'nen', 'vien', 'cam', 'trane', 'acid', 'thuoc', 'cyklokapron', 'tiem', 'mau', 'fibrinolysis', 'b02aa02', 'uc', '500mg', 'tranexamic']",[],"{""oral"",""injection""}",False,,[],Huyết khối đang hoạt động (trừ khi chỉ định); Rối loạn đông máu nội mạch (DIC).,"{""hematology""}"
AMINOCAPROIC ACID,Thuốc cầm máu.,"['Amicar', 'Amino']","['Viên nén 500 mg', 'Dung dịch uống/tiêm']",aminocaproic acid,b02aa01,thuoc cam mau.,"['vien nen 500mg', 'dung dich uong/tiem']","['amicar', 'amino']","['vien', 'cam', 'b02aa01', '500mg', 'acid', 'thuoc', 'dung', 'dich', 'uong/tiem', 'amino', 'mau', 'nen', 'aminocaproic', 'amicar']",[],"{""oral"",""injection""}",False,,[],Rối loạn đông máu nội mạch (DIC).,"{""hematology""}"
TOCILIZUMAB,Kháng thể đơn dòng (Ức chế IL-6).,"['Actemra', 'Tocili']",['Thuốc tiêm'],tocilizumab,l04ac07,khang the don dong (uc che il-6).,['thuoc tiem'],"['actemra', 'tocili']","['che', 'tocilizumab', 'actemra', 'l04ac07', 'thuoc', 'il6', 'the', 'dong', 'tiem', 'tocili', 'uc', 'don', 'khang']",[],"{""injection""}",False,,[],Nhiễm trùng nặng đang hoạt động; Quá mẫn.,"{""oncology""}"
SARILUMAB,Kháng thể đơn dòng (Ức chế IL-6).,"['Kevzara', 'Sarilumab']",['Bút tiêm'],sarilumab,l04ac14,khang the don dong (uc che il-6).,['but tiem'],"['kevzara', 'sarilumab']","['che', 'sarilumab', 'il6', 'but', 'the', 'tiem', 'dong', 'l04ac14', 'kevzara', 'uc', 'don', 'khang']",[],"{""injection""}",False,,[],Nhiễm trùng nặng đang hoạt động; Quá mẫn.,"{""oncology""}"
UPADACITINIB,Thuốc ức chế JAK (Điều trị RA).,"['Rinvoq', 'Upadacit']","['Viên nén 15 mg', 'Viên nén 30 mg']",upadacitinib,l04af07,thuoc uc che jak (dieu tri ra).,"['vien nen 15mg', 'vien nen 30mg']","['rinvoq', 'upadacit']","['che', 'ra', 'vien', 'dieu', 'upadacitinib', 'nen', 'upadacit', '15mg', 'jak', 'thuoc', 'l04af07', 'rinvoq', 'tri', 'uc', '30mg']",[],"{""oral""}",False,,[],Nhiễm trùng nặng đang hoạt động; Quá mẫn.,"{""oncology""}"
TOFACITINIB,Thuốc ức chế JAK.,"['Xeljanz', 'Tofacit']","['Viên nén 5 mg', 'Viên nén 10 mg']",tofacitinib,l04af01,thuoc uc che jak.,"['vien nen 5mg', 'vien nen 10mg']","['xeljanz', 'tofacit']","['che', 'nen', 'vien', '10mg', 'jak', 'thuoc', '5mg', 'xeljanz', 'tofacitinib', 'uc', 'l04af01', 'tofacit']",[],"{""oral""}",False,,[],Nhiễm trùng nặng đang hoạt động; Quá mẫn.,"{""oncology""}"
BARICITINIB,Thuốc ức chế JAK.,"['Olumiant', 'Bariciti']","['Viên nén 2 mg', 'Viên nén 4 mg']",baricitinib,l04af02,thuoc uc che jak.,"['vien nen 2mg', 'vien nen 4mg']","['olumiant', 'bariciti']","['che', 'nen', 'vien', 'jak', 'thuoc', 'olumiant', '4mg', 'l04af02', 'uc', 'bariciti', '2mg', 'baricitinib']",[],"{""oral""}",False,,[],Nhiễm trùng nặng đang hoạt động; Quá mẫn.,"{""oncology""}"
SULINDAC,NSAID.,"['Clinoril', 'Sulindac']","['Viên nén 150 mg', 'Viên nén 200 mg']",sulindac,m01ab02,nsaid.,"['vien nen 150mg', 'vien nen 200mg']","['clinoril', 'sulindac']","['vien', '150mg', 'clinoril', 'sulindac', 'nsaid', '200mg', 'nen', 'm01ab02']",[],"{""oral""}",False,,"['renal_adjust', 'pregnancy_risk']",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ.,"{""rheumatology""}"
ETODOLAC,NSAID.,"['Lodine', 'Etodolac']","['Viên nén 200 mg', 'Viên nén 300 mg', 'Viên nén 400 mg']",etodolac,m01ab08,nsaid.,"['vien nen 200mg', 'vien nen 300mg', 'vien nen 400mg']","['lodine', 'etodolac']","['vien', 'm01ab08', 'nsaid', '200mg', 'etodolac', '400mg', 'lodine', 'nen', '300mg']",[],"{""oral""}",False,,"['renal_adjust', 'pregnancy_risk']",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ.,"{""rheumatology""}"
NABUMETONE,NSAID (Non-acidic).,"['Relafen', 'Nabumeton']","['Viên nén 500 mg', 'Viên nén 750 mg']",nabumetone,m01ax01,nsaid (non-acidic).,"['vien nen 500mg', 'vien nen 750mg']","['relafen', 'nabumeton']","['nonacidic', 'vien', 'nabumeton', 'relafen', 'nsaid', 'm01ax01', 'nabumetone', '750mg', 'nen', '500mg']",[],"{""oral""}",False,,"['renal_adjust', 'pregnancy_risk']",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ.,"{""rheumatology""}"
FENOPROFEN,NSAID.,"['Nalfon', 'Fenoprofen']","['Viên nén 300 mg', 'Viên nén 600 mg']",fenoprofen,m01ae02,nsaid.,"['vien nen 300mg', 'vien nen 600mg']","['nalfon', 'fenoprofen']","['vien', 'fenoprofen', 'nalfon', '600mg', 'm01ae02', 'nsaid', 'nen', '300mg']",[],"{""oral""}",False,,"['renal_adjust', 'pregnancy_risk']",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ.,"{""rheumatology""}"
KE TOPROFEN,NSAID.,"['Orudis', 'Ketoprofen']","['Viên nang 50 mg', 'Viên nang 75 mg', 'Thuốc đặt trực tràng']",ke toprofen,m01ae03,nsaid.,"['vien nang 50mg', 'vien nang 75mg', 'thuoc dat truc trang']","['orudis', 'ketoprofen']","['truc', 'toprofen', 'vien', 'nang', 'ke', 'trang', '75mg', 'thuoc', 'nsaid', 'orudis', 'm01ae03', 'ketoprofen', 'dat', '50mg']",[],"{""oral""}",False,,"['renal_adjust', 'pregnancy_risk']",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ.,"{""rheumatology""}"
PIROXICAM,NSAID (Tác dụng dài).,"['Feldene', 'Piroxi']","['Viên nén 10 mg', 'Viên nén 20 mg']",piroxicam,m01ac01,nsaid (tac dung dai).,"['vien nen 10mg', 'vien nen 20mg']","['feldene', 'piroxi']","['10mg', 'vien', 'feldene', 'piroxi', 'dung', 'dai', 'nsaid', 'm01ac01', 'piroxicam', 'nen', 'tac', '20mg']",[],"{""oral""}",False,,"['renal_adjust', 'pregnancy_risk']",Loét dạ dày tiến triển; Suy tim nặng; Ba tháng cuối thai kỳ; Nguy cơ cao ở người cao tuổi.,"{""rheumatology""}"
CELECOXIB,NSAID (Ức chế COX-2).,"['Celebrex', 'Celecoxib']","['Viên nang 100 mg', 'Viên nang 200 mg']",celecoxib,m01ah01,nsaid (uc che cox-2).,"['vien nang 100mg', 'vien nang 200mg']","['celebrex', 'celecoxib']","['che', '100mg', 'vien', 'cox2', 'nang', 'nsaid', '200mg', 'celecoxib', 'celebrex', 'uc', 'm01ah01']",[],"{""oral""}",False,,"['renal_adjust', 'pregnancy_risk']",Dị ứng Sulfonamide; Suy tim nặng; Ba tháng cuối thai kỳ.,"{""rheumatology""}"
DICLOFENAC (Dạng tiêm),NSAID (Tiêm bắp/Tĩnh mạch).,"['Voltaren', 'Diclofenac']",['Ống tiêm 75 mg/3 ml'],diclofenac (dang tiem),m01ab05,nsaid (tiem bap/tinh mach).,['ong tiem 75mg/3ml'],"['voltaren', 'diclofenac']","['dang', '75mg/3ml', 'diclofenac', 'nsaid', 'bap/tinh', 'ong', 'tiem', 'm01ab05', 'mach', 'voltaren']",[],"{""injection""}",False,,[],Loét dạ dày tiến triển; Rối loạn chảy máu; Tiêm tĩnh mạch (nguy cơ thuyên tắc).,"{""rheumatology""}"
ETORICOXIB,NSAID (Ức chế COX-2).,"['Arcoxia', 'Etoricoxib']","['Viên nén 60 mg', 'Viên nén 90 mg', 'Viên nén 120 mg']",etoricoxib,m01ah05,nsaid (uc che cox-2).,"['vien nen 60mg', 'vien nen 90mg', 'vien nen 120mg']","['arcoxia', 'etoricoxib']","['che', 'nen', 'vien', 'm01ah05', 'cox2', '120mg', '60mg', '90mg', 'nsaid', 'arcoxia', 'uc', 'etoricoxib']",[],"{""oral""}",False,,[],Tăng huyết áp không kiểm soát; Suy tim sung huyết; Bệnh tim thiếu máu cục bộ.,"{""rheumatology""}"
MELOXICAM,NSAID (Ức chế COX-2 ưu tiên).,"['Mobic', 'Meloxicam']","['Viên nén 7.5 mg', 'Viên nén 15 mg']",meloxicam,m01ac06,nsaid (uc che cox-2 uu tien).,"['vien nen 7.5mg', 'vien nen 15mg']","['mobic', 'meloxicam']","['che', 'nen', 'vien', 'cox2', '15mg', 'uu', '75mg', 'nsaid', 'meloxicam', 'mobic', 'uc', 'm01ac06', 'tien']",[],"{""oral""}",False,,"['renal_adjust', 'pregnancy_risk']",Loét dạ dày tiến triển; Suy thận nặng; Ba tháng cuối thai kỳ.,"{""rheumatology""}"
GABAPENTIN ENACARBILE,Thuốc chống co giật (Phóng thích kéo dài).,['Horizant'],"['Viên nén 300 mg', 'Viên nén 600 mg']",gabapentin enacarbile,n03ax12,thuoc chong co giat (phong thich keo dai).,"['vien nen 300mg', 'vien nen 600mg']",['horizant'],"['vien', 'horizant', 'thich', 'n03ax12', '600mg', 'gabapentin', 'co', 'keo', 'thuoc', 'dai', 'enacarbile', 'chong', 'phong', 'nen', 'giat', '300mg']",[],"{""oral""}",False,,[],Quá mẫn.,"{""neurology""}"
HYDROCORTISONE (Kem/Mỡ),Corticosteroid yếu (Tại chỗ).,"['Cortef', 'Hydrocort']","['Kem/Thuốc mỡ 1%', 'Kem/Thuốc mỡ 2.5%']",hydrocortisone (kem/mo),d07aa02,corticosteroid yeu (tai cho).,"['kem/thuoc mo 1%', 'kem/thuoc mo 2.5%']","['cortef', 'hydrocort']","['tai', 'yeu', '25%', 'kem/mo', 'd07aa02', 'kem/thuoc', '1%', 'hydrocort', 'cho', 'cortef', 'mo', 'hydrocortisone', 'corticosteroid']",[],"{""oral""}",False,,[],"Nhiễm trùng da (virus, nấm); Trứng cá đỏ.","{""dermatology""}"
MOMETASONE FUROATE,Corticosteroid mạnh (Tại chỗ).,"['Elocon', 'Mometa']",['Kem/Thuốc mỡ 0.1%'],mometasone furoate,d07ac13,corticosteroid manh (tai cho).,['kem/thuoc mo 0.1%'],"['elocon', 'mometa']","['tai', 'mometa', 'furoate', 'elocon', 'mo', 'kem/thuoc', '01%', 'cho', 'manh', 'd07ac13', 'mometasone', 'corticosteroid']",[],"{""oral""}",False,,[],"Nhiễm trùng da (virus, nấm); Dùng diện rộng.","{""dermatology""}"
GENTAMICIN/BETAMETHASONE,Kháng sinh/Corticosteroid (Phối hợp tại chỗ).,"['Gentri-Sone', 'Genta/Beta']",['Kem/Thuốc mỡ'],gentamicin/betamethasone,d07cc01,khang sinh/corticosteroid (phoi hop tai cho).,['kem/thuoc mo'],"['gentri-sone', 'genta/beta']","['tai', 'gentamicin/betamethasone', 'genta/beta', 'd07cc01', 'gentrisone', 'sinh/corticosteroid', 'kem/thuoc', 'mo', 'phoi', 'hop', 'khang', 'cho']",[],"{""oral""}",False,,[],Nhiễm virus (Herpes) tại chỗ; Lao da.,"{""dermatology""}"
CLOTRIMAZOLE/BETAMETHASONE,Kháng nấm/Corticosteroid (Phối hợp tại chỗ).,"['Lotriderm', 'Clotri/Beta']",['Kem/Thuốc mỡ'],clotrimazole/betamethasone,d01ac01,khang nam/corticosteroid (phoi hop tai cho).,['kem/thuoc mo'],"['lotriderm', 'clotri/beta']","['tai', 'clotri/beta', 'd01ac01', 'kem/thuoc', 'lotriderm', 'clotrimazole/betamethasone', 'mo', 'nam/corticosteroid', 'phoi', 'hop', 'khang', 'cho']",[],"{""oral""}",False,,[],Nhiễm virus tại chỗ; Trứng cá đỏ; Dùng trên diện rộng.,"{""dermatology""}"
NEOMYCIN/POLYMYXIN B/DEXAMETHASONE,Kháng sinh/Corticosteroid (Phối hợp mắt).,"['Maxitrol', 'Neo/Poly/Dexa']",['Thuốc nhỏ mắt/Tai'],neomycin/polymyxin b/dexamethasone,s01ca01,khang sinh/corticosteroid (phoi hop mat).,['thuoc nho mat/tai'],"['maxitrol', 'neo/poly/dexa']","['mat/tai', 'neo/poly/dexa', 'sinh/corticosteroid', 'thuoc', 'b/dexamethasone', 'mat', 'nho', 's01ca01', 'neomycin/polymyxin', 'maxitrol', 'phoi', 'hop', 'khang']",[],"{""ophthalmic""}",False,,[],Glôcôm góc đóng; Tổn thương giác mạc (viêm Herpes).,"{""ophthalmology""}"
OLOPATADINE,Kháng Histamin (Nhỏ mắt).,"['Patanol', 'Olopata']","['Thuốc nhỏ mắt 0.1%', 'Thuốc nhỏ mắt 0.2%']",olopatadine,s01gx09,khang histamin (nho mat).,"['thuoc nho mat 0.1%', 'thuoc nho mat 0.2%']","['patanol', 'olopata']","['olopatadine', 'histamin', 's01gx09', 'olopata', 'thuoc', 'nho', '01%', '02%', 'mat', 'khang', 'patanol']",[],"{""ophthalmic""}",False,,[],Quá mẫn.,"{""ophthalmology""}"
AZELASTINE,Kháng Histamin (Xịt mũi).,"['Astelin', 'Azelas']",['Thuốc xịt mũi 0.1%'],azelastine,r01ad03,khang histamin (xit mui).,['thuoc xit mui 0.1%'],"['astelin', 'azelas']","['mui', 'histamin', 'r01ad03', 'thuoc', '01%', 'xit', 'azelas', 'astelin', 'khang', 'azelastine']",[],"{""inhalation""}",False,,[],Quá mẫn.,"{""ent""}"
FLUTICASONE FUROATE,Corticosteroid (Xịt mũi).,"['Veramyst', 'Flutic']",['Thuốc xịt mũi 27.5 mcg/nhát'],fluticasone furoate,r01ad12,corticosteroid (xit mui).,['thuoc xit mui 27.5 mcg/nhat'],"['veramyst', 'flutic']","['mui', 'furoate', 'fluticasone', '275', 'thuoc', 'veramyst', 'flutic', 'r01ad12', 'xit', 'mcg/nhat', 'corticosteroid']",[],"{""inhalation""}",False,,[],Quá mẫn.,"{""ent""}"
CIPROFLOXACIN/HYDROCORTISONE,Kháng sinh/Corticosteroid (Nhỏ tai).,"['Cipro/HC', 'Cipro/Hydro']",['Thuốc nhỏ tai'],ciprofloxacin/hydrocortisone,s02ca03,khang sinh/corticosteroid (nho tai).,['thuoc nho tai'],"['cipro/hc', 'cipro/hydro']","['tai', 'sinh/corticosteroid', 'nho', 'thuoc', 'ciprofloxacin/hydrocortisone', 'cipro/hc', 's02ca03', 'cipro/hydro', 'khang']",[],"{""ophthalmic""}",False,,[],Màng nhĩ thủng (có thể); Nhiễm virus tai ngoài.,"{""otology""}"
MOXIFLOXACIN (Nhỏ mắt),Kháng sinh Quinolone (Nhỏ mắt).,"['Vigamox', 'Moxiflo']",['Thuốc nhỏ mắt 0.5%'],moxifloxacin (nho mat),s01ae07,khang sinh quinolone (nho mat).,['thuoc nho mat 0.5%'],"['vigamox', 'moxiflo']","['sinh', 'moxifloxacin', 'thuoc', 'nho', 'quinolone', 'vigamox', 's01ae07', 'moxiflo', 'mat', 'khang', '05%']",[],"{""ophthalmic""}",False,,[],Quá mẫn với Quinolone.,"{""ophthalmology""}"
LEVONORGESTREL (Cấy dưới da),Thuốc tránh thai Progestin (Cấy dưới da).,"['Implanon', 'Levonor']",['Que cấy 68 mg'],levonorgestrel (cay duoi da),g03ac08,thuoc tranh thai progestin (cay duoi da).,['que cay 68mg'],"['implanon', 'levonor']","['duoi', 'thai', 'tranh', 'progestin', 'cay', 'levonor', 'thuoc', 'implanon', 'da', 'que', 'levonorgestrel', '68mg', 'g03ac08']",[],"{""oral""}",False,,[],Có thai; Huyết khối đang hoạt động; Chảy máu âm đạo không rõ nguyên nhân.,"{""endocrinology""}"
ETOMIDATE,Thuốc gây mê tĩnh mạch (Tác dụng ngắn).,"['Amidate', 'Etomida']",['Thuốc tiêm 2 mg/ml'],etomidate,n01ax07,thuoc gay me tinh mach (tac dung ngan).,['thuoc tiem 2mg/ml'],"['amidate', 'etomida']","['gay', 'etomidate', 'thuoc', 'tinh', 'me', 'dung', 'amidate', 'n01ax07', 'tac', 'etomida', 'tiem', '2mg/ml', 'ngan', 'mach']",[],"{""injection""}",False,,['renal_adjust'],Quá mẫn; Suy vỏ thượng thận cấp tính (liều cao).,"{""anesthesiology""}"
THIOPENTAL,Thuốc mê barbiturate.,"['Pentothal', 'Thiopental']",['Bột pha tiêm'],thiopental,n01af03,thuoc me barbiturate.,['bot pha tiem'],"['pentothal', 'thiopental']","['barbiturate', 'n01af03', 'bot', 'pentothal', 'pha', 'thiopental', 'thuoc', 'me', 'tiem']",[],"{""injection""}",False,,['hepatic_toxic'],"Bệnh Porphyrin cấp; Sốc, Hôn mê gan.","{""anesthesiology""}"
KETAMINE,Thuốc gây mê (Phân ly).,"['Ketalar', 'Ketamine']","['Thuốc tiêm 10 mg/ml', 'Thuốc tiêm 50 mg/ml']",ketamine,n01ax03,thuoc gay me (phan ly).,"['thuoc tiem 10mg/ml', 'thuoc tiem 50mg/ml']","['ketalar', 'ketamine']","['n01ax03', '10mg/ml', 'ketalar', 'ketamine', 'gay', 'phan', 'thuoc', 'me', 'ly', '50mg/ml', 'tiem']",[],"{""injection""}",False,,[],Tăng huyết áp nặng; Bệnh tim nặng.,"{""anesthesiology""}"
MIDAZOLAM,"Benzodiazepine (Tiền mê, An thần).","['Versed', 'Midazolam']","['Thuốc tiêm 1 mg/ml', 'Thuốc tiêm 5 mg/ml']",midazolam,n05cd08,"benzodiazepine (tien me, an than).","['thuoc tiem 1mg/ml', 'thuoc tiem 5mg/ml']","['versed', 'midazolam']","['an', 'than', 'versed', 'n05cd08', '1mg/ml', '5mg/ml', 'thuoc', 'me', 'benzodiazepine', 'tiem', 'midazolam', 'tien']",[],"{""injection""}",False,,[],Glôcôm góc đóng; Sốc; Suy hô hấp cấp.,"{""psychiatry""}"
PROPOFOL,Thuốc gây mê tĩnh mạch (Tác dụng cực ngắn).,"['Diprivan', 'Propofol']",['Nhũ tương tiêm truyền'],propofol,n01ax10,thuoc gay me tinh mach (tac dung cuc ngan).,['nhu tuong tiem truyen'],"['diprivan', 'propofol']","['nhu', 'cuc', 'truyen', 'gay', 'tinh', 'thuoc', 'dung', 'me', 'diprivan', 'tac', 'tiem', 'propofol', 'tuong', 'ngan', 'mach', 'n01ax10']",[],"{""injection""}",False,,[],"Dị ứng trứng/đậu nành; Sốc, Hôn mê.","{""anesthesiology""}"
ROPIVACAINE,Thuốc tê cục bộ (Dạng Amide).,"['Naropin', 'Ropivac']",['Dung dịch tiêm 2 mg/ml - 10 mg/ml'],ropivacaine,n01bb09,thuoc te cuc bo (dang amide).,['dung dich tiem 2mg/ml - 10mg/ml'],"['naropin', 'ropivac']","['10mg/ml', '2mg/ml', 'dang', 'cuc', 'bo', 'thuoc', 'dung', 'dich', 'ropivac', 'amide', 'naropin', 'tiem', 'ropivacaine', 'n01bb09', 'te']",[],"{""injection""}",False,,[],Quá mẫn với thuốc tê dạng Amide; Block AV nặng.,"{""anesthesiology""}"
